StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q11,Q10,Q12,Q13,Q14,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,UniqueID
2023-05-30 13:29:49,2023-05-30 13:31:30,IP Address,129.176.197.15,100,100,True,2023-05-30 13:31:31,R_3m30kLDYu4CmQDg,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,10,Yes,Yes,BSN,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,170
2023-05-30 13:51:07,2023-05-30 13:52:28,IP Address,129.176.197.15,100,81,True,2023-05-30 13:52:29,R_262BFTtZAVcXBdF,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,17,No,No,RN,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,80
2023-05-30 16:48:59,2023-05-30 16:50:25,IP Address,35.130.71.243,100,86,True,2023-05-30 16:50:26,R_1imPLDI3yd7WYeh,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,12,No,No,BSN,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,172
2023-05-30 19:39:43,2023-05-30 19:41:12,IP Address,35.148.58.146,100,88,True,2023-05-30 19:41:12,R_1pGT4vQqILVIAhJ,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,<1,No,No,BSN,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,118
2023-05-30 23:15:01,2023-05-30 23:16:11,IP Address,129.176.197.15,100,70,True,2023-05-30 23:16:11,R_1nSXBeL7ChbVHp4,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,2,No,No,BSN,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,124
2023-05-31 01:38:48,2023-05-31 01:40:34,IP Address,129.176.197.15,100,106,True,2023-05-31 01:40:35,R_3ipPpPrN1qz34W3,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,"11 years ",No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,10
2023-05-31 02:26:52,2023-05-31 02:28:35,IP Address,129.176.197.15,100,102,True,2023-05-31 02:28:35,R_1mxWjTmuroJQASa,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,16,No,No,BSN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,57
2023-05-31 03:41:01,2023-05-31 03:42:00,IP Address,207.138.205.88,100,58,True,2023-05-31 03:42:01,R_3soAbfZvitRH2gc,,,,,44.0286,-91.6957,anonymous,EN,"Yes, I consent",Female,5,Yes,No,BSN,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,207
2023-06-01 00:20:12,2023-06-01 00:21:16,IP Address,129.176.197.23,100,63,True,2023-06-01 00:21:17,R_3jV9HNSVLzeVnsf,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,2,No,No,BSN,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,14
2023-06-01 09:25:55,2023-06-01 09:27:10,IP Address,129.176.197.15,100,75,True,2023-06-01 09:27:12,R_32RtQ6o3xnqshwZ,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,5,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,223
2023-06-02 14:34:51,2023-06-02 14:35:57,IP Address,152.117.115.197,100,66,True,2023-06-02 14:35:58,R_28D4mIqINKdNEF6,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,3,No,No,BSN,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,37
2023-06-06 04:14:53,2023-06-06 04:15:56,IP Address,129.176.197.15,100,62,True,2023-06-06 04:15:57,R_2rp6zuhsWKUSoDb,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,4,Yes,No,BSN,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,17
2023-06-07 23:50:49,2023-06-07 23:51:57,IP Address,129.176.197.83,100,68,True,2023-06-07 23:51:57,R_2WuLDswBqvh6qYP,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Male,4.5,Yes,No,BSN,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,52
2023-06-09 11:08:48,2023-06-09 11:09:53,IP Address,129.176.197.23,100,64,True,2023-06-09 11:09:53,R_2aQ6hRmD5BPeoWp,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,5,No,No,BSN,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,60
2023-06-20 11:26:58,2023-06-20 11:28:20,IP Address,129.176.197.24,100,82,True,2023-06-20 11:28:21,R_3imwGdEg6YfEkeW,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,4,No,No,BSN,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,125
2023-06-20 13:25:43,2023-06-20 13:27:13,IP Address,129.176.197.83,100,90,True,2023-06-20 13:27:14,R_1rvvb0mP326sutk,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,28,Yes,No,BSN,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,49
2023-06-23 08:38:31,2023-06-23 08:39:37,IP Address,129.176.197.83,100,66,True,2023-06-23 08:39:38,R_W9fHlRjLGqp7eKd,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,1,No,No,BSN,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,130
2023-09-22 03:33:36,2023-09-22 03:35:05,IP Address,129.176.197.15,100,88,True,2023-09-22 03:35:06,R_a4cbTQ16DernjlD,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,8,Yes,No,MSN,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,90
