StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q11,Q10,Q12,Q13,Q14,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,UniqueID,PreQ1,PreQ2,PreQ3,PreQ4,PreQ5,PreQ6
5/30/23 13:29,5/30/23 13:31,IP Address,129.176.197.15,100,100,TRUE,5/30/23 13:31,R_3m30kLDYu4CmQDg,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,10,Yes,Yes,BSN,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,170,4,5,3,5,5,5
5/30/23 13:51,5/30/23 13:52,IP Address,129.176.197.15,100,81,TRUE,5/30/23 13:52,R_262BFTtZAVcXBdF,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,17,No,No,RN,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,80,3,3,3,3,3,3
5/30/23 16:48,5/30/23 16:50,IP Address,35.130.71.243,100,86,TRUE,5/30/23 16:50,R_1imPLDI3yd7WYeh,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,12,No,No,BSN,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,172,1,1,1,5,1,1
5/30/23 19:39,5/30/23 19:41,IP Address,35.148.58.146,100,88,TRUE,5/30/23 19:41,R_1pGT4vQqILVIAhJ,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,<1,No,No,BSN,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,118,3,4,3,4,2,4
5/30/23 23:15,5/30/23 23:16,IP Address,129.176.197.15,100,70,TRUE,5/30/23 23:16,R_1nSXBeL7ChbVHp4,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,2,No,No,BSN,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,124,2,3,2,5,3,2
5/31/23 1:38,5/31/23 1:40,IP Address,129.176.197.15,100,106,TRUE,5/31/23 1:40,R_3ipPpPrN1qz34W3,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,11 years ,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,10,3,4,2,5,5,4
5/31/23 2:26,5/31/23 2:28,IP Address,129.176.197.15,100,102,TRUE,5/31/23 2:28,R_1mxWjTmuroJQASa,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,16,No,No,BSN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,57,4,5,5,5,5,5
5/31/23 3:41,5/31/23 3:42,IP Address,207.138.205.88,100,58,TRUE,5/31/23 3:42,R_3soAbfZvitRH2gc,,,,,44.0286,-91.6957,anonymous,EN,"Yes, I consent",Female,5,Yes,No,BSN,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,207,4,2,2,5,5,4
6/1/23 0:20,6/1/23 0:21,IP Address,129.176.197.23,100,63,TRUE,6/1/23 0:21,R_3jV9HNSVLzeVnsf,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,2,No,No,BSN,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,14,2,4,4,4,4,4
6/1/23 9:25,6/1/23 9:27,IP Address,129.176.197.15,100,75,TRUE,6/1/23 9:27,R_32RtQ6o3xnqshwZ,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,5,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,223,3,4,4,5,4,4
6/2/23 14:34,6/2/23 14:35,IP Address,152.117.115.197,100,66,TRUE,6/2/23 14:35,R_28D4mIqINKdNEF6,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,3,No,No,BSN,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,37,3,2,4,5,5,5
6/6/23 4:14,6/6/23 4:15,IP Address,129.176.197.15,100,62,TRUE,6/6/23 4:15,R_2rp6zuhsWKUSoDb,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,4,Yes,No,BSN,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,17,3,2,4,5,5,4
6/7/23 23:50,6/7/23 23:51,IP Address,129.176.197.83,100,68,TRUE,6/7/23 23:51,R_2WuLDswBqvh6qYP,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Male,4.5,Yes,No,BSN,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,52,3,2,2,4,4,4
6/9/23 11:08,6/9/23 11:09,IP Address,129.176.197.23,100,64,TRUE,6/9/23 11:09,R_2aQ6hRmD5BPeoWp,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,5,No,No,BSN,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,60,3,5,4,5,4,4
6/20/23 11:26,6/20/23 11:28,IP Address,129.176.197.24,100,82,TRUE,6/20/23 11:28,R_3imwGdEg6YfEkeW,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,4,No,No,BSN,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,125,2,3,4,5,5,4
6/20/23 13:25,6/20/23 13:27,IP Address,129.176.197.83,100,90,TRUE,6/20/23 13:27,R_1rvvb0mP326sutk,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,28,Yes,No,BSN,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,49,4,5,1,5,4,4
6/23/23 8:38,6/23/23 8:39,IP Address,129.176.197.83,100,66,TRUE,6/23/23 8:39,R_W9fHlRjLGqp7eKd,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,1,No,No,BSN,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,130,3,1,1,5,1,3
9/22/23 3:33,9/22/23 3:35,IP Address,129.176.197.15,100,88,TRUE,9/22/23 3:35,R_a4cbTQ16DernjlD,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,8,Yes,No,MSN,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,90,3,2,3,5,4,3
